"","Predicho","Observado","Campo","Produccion","ID","Diferencia"
"187",77.3850178333333,63,"Freirina","2019",269,-14.3850178333333
"188",82.7933264444445,74,"Freirina","2019",270,-8.79332644444446
"189",84.7270596666667,78.2,"Freirina","2019",274,-6.52705966666666
"190",77.7722398571429,58.7,"Freirina","2019",276,-19.0722398571429
"191",94.3318926190475,115.2,"Freirina","2019",279,20.8681073809525
"192",73.5640126190476,57.5,"Freirina","2019",280,-16.0640126190476
"193",125.183523253968,172.2,"Freirina","2019",281,47.016476746032
"194",75.3630392857141,56.1,"Freirina","2019",282,-19.2630392857141
"195",74.9575855238095,74.9,"Freirina","2019",283,-0.0575855238095073
"196",90.7827312481962,74,"Freirina","2019",284,-16.7827312481962
"197",98.9586268571429,115.4,"Freirina","2019",285,16.4413731428571
"198",87.920963051948,75.2,"Freirina","2019",286,-12.720963051948
"199",83.6582007936508,79.1,"Freirina","2019",287,-4.55820079365083
"200",78.3959816666666,60.3,"Freirina","2019",288,-18.0959816666666
"201",103.134800095238,118,"Freirina","2019",290,14.865199904762
"202",100.99388734127,114.4,"Freirina","2019",291,13.4061126587301
"203",105.377417254967,117.9,"Freirina","2019",292,12.5225827450327
"204",110.595506710269,134.7,"Freirina","2019",294,24.104493289731
"205",105.841099698067,96,"Freirina","2019",295,-9.84109969806713
"206",96.6673156227468,115.2,"Freirina","2019",296,18.5326843772532
"207",78.1496247100121,75.6,"Freirina","2019",297,-2.54962471001215
"208",67.5326884761905,56.7,"Freirina","2019",298,-10.8326884761905
"209",61.7579610714287,37.4,"Freirina","2019",299,-24.3579610714287
"210",103.097220714286,125.6,"Freirina","2019",301,22.5027792857145
"211",84.6500316666667,84.5,"Freirina","2019",302,-0.150031666666678
"212",62.1830616666666,37.5,"Freirina","2019",303,-24.6830616666666
"213",77.5925013708514,56.3,"Freirina","2019",304,-21.2925013708514
"214",83.7966432575758,97,"Freirina","2019",305,13.2033567424242
"215",66.9254128318904,38.5,"Freirina","2019",307,-28.4254128318904
"216",85.8751955619117,80,"Freirina","2019",308,-5.87519556191171
"217",80.2695700740166,75.2,"Freirina","2019",309,-5.06957007401657
"218",68.0883050238097,35.9,"Freirina","2019",310,-32.1883050238097
"219",77.5426497063492,53.88,"Freirina","2019",311,-23.6626497063492
"220",123.926924238095,166.5,"Freirina","2019",314,42.5730757619047
"221",98.7424475714285,119.2,"Freirina","2019",315,20.4575524285715
"222",87.2061925645536,93.7,"Freirina","2019",317,6.49380743544637
"223",77.5401686707084,62.5,"Freirina","2019",318,-15.0401686707084
"224",78.7477628657018,79.6,"Freirina","2019",319,0.852237134298193
"225",132.460561309524,194.8,"Freirina","2019",323,62.339438690476
"226",81.4137797759103,82.7,"Freirina","2019",325,1.28622022408966
"227",78.8512146264846,91,"Freirina","2019",326,12.1487853735154
"228",93.3754469841271,90.5,"Freirina","2019",327,-2.87544698412708
"229",93.7667390909091,97.8,"Freirina","2019",328,4.03326090909088
"230",77.0170402028143,63.8,"Freirina","2019",329,-13.2170402028143
"231",85.2566183333333,93.1,"Freirina","2019",331,7.84338166666672
"232",83.8704601547618,67.1,"Freirina","2019",332,-16.7704601547618
"233",88.7660086660199,92.2,"Freirina","2019",336,3.43399133398013
"234",100.814283214286,124.8,"Freirina","2019",337,23.9857167857142
"235",83.0224278699078,54.6,"Freirina","2019",338,-28.4224278699078
"236",70.3797189285715,54.9,"Freirina","2019",340,-15.4797189285716
"237",73.0105792857145,54.9,"Freirina","2019",341,-18.1105792857145
"238",77.7473471428572,72.3,"Freirina","2019",342,-5.44734714285717
"239",82.3908517124542,66.7,"Freirina","2019",343,-15.6908517124542
"240",76.6640966197691,66.7,"Freirina","2019",344,-9.96409661976914
"241",77.6002027678964,59.4,"Freirina","2019",347,-18.2002027678964
"242",77.8074893253969,61,"Freirina","2019",348,-16.8074893253969
"243",74.6064911183261,57,"Freirina","2019",349,-17.6064911183261
"244",75.0982899603173,81.1,"Freirina","2019",350,6.00171003968268
"245",81.4381130093369,59.1,"Freirina","2019",351,-22.3381130093369
"246",82.5158134744421,77.6,"Freirina","2019",352,-4.91581347444213
"247",86.80975121609,77.8,"Freirina","2019",353,-9.00975121609001
"248",85.8278472373862,82.6,"Freirina","2019",356,-3.22784723738616
"249",83.3429345090614,78.9,"Freirina","2019",358,-4.44293450906139
"250",85.9680322308247,81.2,"Freirina","2019",359,-4.7680322308247
"251",80.1761536360307,62,"Freirina","2019",360,-18.1761536360307
"252",92.7830132142859,98.3,"Freirina","2019",361,5.51698678571414
"253",83.469724423077,72.3,"Freirina","2019",362,-11.169724423077
"254",97.2515226093812,118.2,"Freirina","2019",365,20.9484773906188
"255",82.3143735642136,59.5,"Freirina","2019",366,-22.8143735642136
"256",74.4218135192586,55.9,"Freirina","2019",367,-18.5218135192586
"257",91.4920666755904,86.7,"Freirina","2019",368,-4.79206667559042
"258",122.811861919192,172.6,"Freirina","2019",369,49.7881380808082
"259",103.313047103001,125,"Freirina","2019",370,21.6869528969985
"260",107.676509589087,125.6,"Freirina","2019",371,17.9234904109128
"261",86.6876997619047,105.7,"Freirina","2019",374,19.0123002380953
"262",70.4927804761905,61.6,"Freirina","2019",377,-8.89278047619046
"263",71.6764638888889,63,"Freirina","2019",378,-8.67646388888889
"264",74.9576100793652,72.9,"Freirina","2019",379,-2.05761007936516
"265",88.7794298214939,54.6,"Freirina","2019",380,-34.1794298214939
"266",97.1104949382481,134.5,"Freirina","2019",381,37.3895050617519
"267",110.874195873016,134.8,"Freirina","2019",382,23.925804126984
"268",124.789813563492,145.1,"Freirina","2019",383,20.3101864365081
"269",118.621692506715,152.2,"Freirina","2019",384,33.5783074932846
"270",111.30915372977,135.9,"Freirina","2019",385,24.5908462702295
"271",71.4896467258019,50.8,"Freirina","2019",387,-20.6896467258019
"272",67.2417612595616,50.8,"Freirina","2019",388,-16.4417612595616
"273",74.9228942803804,79.1,"Freirina","2019",390,4.17710571961962
"274",77.6440918373016,58,"Freirina","2019",391,-19.6440918373016
"275",69.1428690359085,59,"Freirina","2019",392,-10.1428690359085
"276",81.1472039374528,74,"Freirina","2019",393,-7.14720393745283
"277",79.9959177380953,76,"Freirina","2019",394,-3.99591773809527
"278",108.726990467033,122.3,"Freirina","2019",395,13.5730095329668
"279",95.7367638736265,91.8,"Freirina","2019",397,-3.93676387362648
"280",104.943636017316,122.5,"Freirina","2019",398,17.556363982684
"281",101.294827683983,118.3,"Freirina","2019",399,17.0051723160172
"282",103.998279630647,120.2,"Freirina","2019",400,16.201720369353
"283",99.1629228571429,98.5,"Freirina","2019",401,-0.662922857142888
"284",71.0621575396825,57,"Freirina","2019",402,-14.0621575396825
"285",80.4166632198847,58,"Freirina","2019",403,-22.4166632198847
"286",93.225528979354,73,"Freirina","2019",404,-20.225528979354
"287",86.7944004256854,72,"Freirina","2019",405,-14.7944004256854
"288",101.314773392857,122.5,"Freirina","2019",406,21.1852266071428
"289",121.811741244589,121.8,"Freirina","2019",408,-0.0117412445887481
"290",122.427011318182,132.1,"Freirina","2019",409,9.67298868181818
"291",125.325850097957,162.1,"Freirina","2019",410,36.7741499020426
"292",114.86056225887,133.1,"Freirina","2019",411,18.2394377411299
"293",112.067965831181,128.5,"Freirina","2019",412,16.4320341688187
"294",91.681660452381,109,"Freirina","2019",414,17.318339547619
"295",85.209393420635,88.4,"Freirina","2019",415,3.19060657936502
"296",70.6008918321679,52,"Freirina","2019",416,-18.6008918321679
"297",76.2189948650794,76.9,"Freirina","2019",417,0.681005134920568
"298",73.9879614650834,79,"Freirina","2019",418,5.01203853491658
"299",74.8590371053581,81,"Freirina","2019",419,6.14096289464186
"300",75.8686245301594,76,"Freirina","2019",420,0.131375469840577
"301",67.3797310793651,81.8,"Freirina","2019",421,14.4202689206349
"302",103.182533711018,145,"Freirina","2019",422,41.8174662889822
"303",79.6031521507937,95.5,"Freirina","2019",423,15.8968478492063
"304",72.9792166666667,54.2,"Freirina","2019",425,-18.7792166666667
"305",80.6227012185592,85.1,"Freirina","2019",426,4.47729878144075
"306",72.7411707142857,56.5,"Freirina","2019",427,-16.2411707142857
"307",104.681834728938,92.5,"Freirina","2019",428,-12.1818347289377
"308",92.1105398863279,77.1,"Freirina","2019",430,-15.0105398863279
"309",123.629613210678,129,"Freirina","2019",431,5.37038678932177
"310",123.037860127373,132.3,"Freirina","2019",432,9.26213987262729
"311",128.975530246032,159.6,"Freirina","2019",434,30.6244697539684
"312",95.18438130513,93.7,"Freirina","2019",435,-1.48438130512999
"313",102.047502102925,124.9,"Freirina","2019",436,22.852497897075
"314",89.4176682588026,86.1,"Freirina","2019",437,-3.31766825880263
"315",100.60827936508,114.9,"Freirina","2019",438,14.2917206349205
"316",63.5253774040405,45.9,"Freirina","2019",439,-17.6253774040405
"317",99.0869811666668,124.3,"Freirina","2019",440,25.2130188333332
"318",79.6502842199467,87.2,"Freirina","2019",441,7.54971578005326
"319",82.7369555000001,74.4,"Freirina","2019",443,-8.33695550000004
"320",60.2163348730158,35.8,"Freirina","2019",444,-24.4163348730158
"321",41.186214524975,17.8,"Freirina","2019",445,-23.386214524975
"322",70.2585857301588,71.7,"Freirina","2019",446,1.4414142698412
"323",59.3540424040405,32.9,"Freirina","2019",447,-26.4540424040405
"324",71.2003904090909,49.3,"Freirina","2019",449,-21.9003904090909
