Idshp,Produccion,Kg arbol,Campo,Marco,Lon,Lat,DEM,slope,aspect,tri,tpi,roughness,flowdir,NDVISep,gNDVISep,SAVISep,NDVIEne,gNDVIEne,SAVIEne,DifNDVISepEne,DifgNDVISepEne,DifSAVISepEne,DG10ABRNOV,DG10ABROCT,DG10AGOOCT,DG10MAYNOV,DG10MAYOCT,DG12ABRNOV,DG12ABROCT,DG12AGOOCT,DG12MAYNOV,DG12MAYOCT,DG15ABRNOV,DG15ABROCT,DG15AGOOCT,DG15MAYNOV,DG15MAYOCT,CH10ABRNOV,CH10ABROCT,CH10AGOOCT,CH10MAYNOV,CH10MAYOCT,CH12ABRNOV,CH12ABROCT,CH12AGOOCT,CH12MAYNOV,CH12MAYOCT,CH15ABRNOV,CH15ABROCT,CH15AGOOCT,CH15MAYNOV,CH15MAYOCT,CH10ago,CH12ago,CH15ago,CH10sep,CH12sep,CH15sep,CH10oct,CH12oct,CH15oct,CH10nov,CH12nov,CH15nov
34,2019,76.8,Freirina,100,-71.0936778,-28.5003611,80,1.71353711,261.8698976,0.75,0.5,3,16,0.585093187,0.700577557,0.285839528,0.557700362,0.689576685,0.27001217,-0.027392825,-0.011000872,-0.015827358,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
35,2019,97.7,Freirina,100,-71.09365577,-28.50028023,80,1.71353711,261.8698976,0.75,0.5,3,16,0.589527026,0.697789788,0.28420195,0.589353608,0.712334991,0.284036905,-0.000173418,0.014545202,-0.000165045,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
36,2019,96,Freirina,100,-71.09363375,-28.50019936,81,2.298403281,288.4349488,2,2,4,16,0.580008387,0.70072335,0.28065303,0.59575372,0.707405746,0.286131889,0.015745333,0.006682396,0.005478859,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
37,2019,115.2,Freirina,100,-71.09361154,-28.50010947,81,2.298403281,288.4349488,2,2,4,16,0.579166662,0.699551582,0.281756759,0.566835891,0.690552294,0.272949487,-0.012330771,-0.008999288,-0.008807272,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
40,2019,76.7,Freirina,100,-71.09351982,-28.50011991,80,0.342805543,315,0.375,-0.125,2,32,0.605035397,0.707112968,0.305887014,0.562947368,0.687272727,0.271932214,-0.042088029,-0.01984024,-0.033954799,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
41,2019,136.1,Freirina,100,-71.0935422,-28.50021882,80,0.342805543,315,0.375,-0.125,2,32,0.609336621,0.713164806,0.299919397,0.600649362,0.720767856,0.297427654,-0.008687259,0.007603049,-0.002491742,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
42,2019,121,Freirina,100,-71.09357444,-28.50029953,80,0.342805543,225,0.375,-0.375,1,16,0.589527026,0.697789788,0.28420195,0.589353608,0.712334991,0.284036905,-0.000173418,0.014545202,-0.000165045,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
43,2019,131.7,Freirina,100,-71.09359646,-28.5003804,80,0.342805543,225,0.375,-0.375,1,16,0.570298765,0.677934289,0.267592072,0.550227362,0.681614339,0.269106358,-0.020071403,0.00368005,0.001514286,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
44,2019,76.9,Freirina,100,-71.09362906,-28.50047916,80,1.71353711,261.8698976,0.75,0.5,3,16,0.504737303,0.641146123,0.240098342,0.485239075,0.645324707,0.236394316,-0.019498228,0.004178584,-0.003704026,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
45,2019,72,Freirina,100,-71.09365126,-28.50056905,80,1.454105826,270,0.75,0.5,3,32,0.495153482,0.625823498,0.245987162,0.494949495,0.651115656,0.225271657,-0.000203987,0.025292158,-0.020715505,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
