ID Arbol,16-Sep,ene17,17-Sep,ene18,18-Sep,ene19,19-Sep,ene20
117,0.674815238,0.765398562,0.901372671,0.816521764,0.619579256,0.705232799,0.636276841,0.661252916
118,0.674815238,0.765398562,0.901372671,0.816521764,0.619579256,0.705232799,0.636276841,0.661252916
119,0.6076352,0.775307715,0.891112149,0.817027628,0.675146818,0.683760703,0.660430312,0.658629954
120,0.678233504,0.760551274,0.914043009,0.840715528,0.650561273,0.694292843,0.683908045,0.668927014
121,0.70565623,0.768587768,0.93289274,0.839441538,0.685602367,0.714707375,0.675596714,0.674062073
122,0.696062088,0.789014816,0.927310467,0.84024179,0.64994663,0.705046535,0.659856975,0.684332669
123,0.671052635,0.794804037,0.924960911,0.838795424,0.643221259,0.716504872,0.624670565,0.695306838
124,0.609086096,0.762583911,0.897334695,0.784178853,0.656826615,0.661569834,0.660323501,0.684210539
125,0.609086096,0.762583911,0.897334695,0.784178853,0.656826615,0.661569834,0.660323501,0.684210539
126,0.667423427,0.769134283,0.888563037,0.810863614,0.682391465,0.694978952,0.679961085,0.667847276
127,0.585585594,0.776252031,0.877142847,0.798245609,0.679750264,0.646493733,0.648687363,0.6634354
128,0.64698571,0.737417996,0.855708897,0.816414714,0.622899175,0.666666687,0.6075598,0.592039824
129,0.597826064,0.717670262,0.855040848,0.781347156,0.622941554,0.657113612,0.649735451,0.603034139
130,0.619750261,0.743048906,0.871499181,0.789203107,0.645833373,0.631634831,0.632455647,0.607361972
131,0.674082339,0.758389294,0.887530565,0.820662796,0.675221622,0.663636386,0.679645181,0.651411116
132,0.674082339,0.758389294,0.887530565,0.820662796,0.675221622,0.663636386,0.679645181,0.651411116
133,0.65353483,0.781369686,0.909404218,0.801202059,0.681271136,0.690431535,0.619238496,0.694534898
134,0.65353483,0.781369686,0.909404218,0.801202059,0.681271136,0.690431535,0.619238496,0.694534898
135,0.698447883,0.779328406,0.934065938,0.830303073,0.697604835,0.705934465,0.655789495,0.6828897
136,0.70713526,0.779676259,0.935917318,0.822460771,0.683333337,0.684499323,0.651945353,0.663911879
137,0.702850938,0.770929158,0.921548605,0.828377247,0.679841936,0.693181813,0.666326523,0.661111116
138,0.66393888,0.779588342,0.899610102,0.822115421,0.664993167,0.700142801,0.675236821,0.663125992
139,0.6076352,0.775307715,0.891112149,0.817027628,0.675146818,0.683760703,0.660430312,0.658629954
140,0.629466772,0.76534003,0.866601288,0.775663912,0.695856929,0.671483636,0.659330189,0.657273412
141,0.659901202,0.765206337,0.896653533,0.801659763,0.686666667,0.691674292,0.65142858,0.667791486
142,0.680746019,0.762526333,0.896259367,0.804172039,0.681690156,0.715563536,0.641419053,0.670458734
143,0.637499988,0.768115997,0.889709473,0.814126372,0.700899184,0.724256754,0.631530702,0.642965198
144,0.658362985,0.763450027,0.903441668,0.810621679,0.723960578,0.691829503,0.63860935,0.642403841
145,0.658362985,0.763450027,0.903441668,0.810621679,0.723960578,0.691829503,0.63860935,0.642403841
146,0.655352473,0.739750504,0.884538174,0.793597341,0.660377383,0.662393153,0.633844674,0.608024716
147,0.651506841,0.745245516,0.906953454,0.773617744,0.665437818,0.639063954,0.618954539,0.592927277
148,0.658362985,0.763450027,0.903441668,0.810621679,0.723960578,0.691829503,0.63860935,0.642403841
149,0.627627671,0.766860962,0.889822602,0.797551036,0.696881115,0.670557737,0.625688076,0.653490961
150,0.682665169,0.768587768,0.902713776,0.812108576,0.712949991,0.701836824,0.645698428,0.664952219
151,0.68282944,0.777484655,0.912032366,0.810778439,0.709335923,0.709938228,0.672256827,0.681180835
152,0.669354796,0.758906364,0.894997537,0.796904504,0.679078043,0.681407511,0.663338065,0.668918908
153,0.669703841,0.764899313,0.907542586,0.800692558,0.670042217,0.68267417,0.659793794,0.668405414
154,0.666110158,0.770448565,0.896311104,0.773615003,0.685557663,0.650120497,0.64684689,0.667257905
155,0.70252794,0.769903362,0.922423005,0.820446789,0.681596935,0.625954211,0.650929928,0.665032089
