ID arbol,16-Sep,ene17,17-Sep,ene18,18-Sep,ene19,19-Sep,ene20
65,0.187319696,0.325750738,0.296791434,0.271035612,0.262449533,0.200797498,0.240617082,0.32195583
66,0.198034301,0.317073166,0.277941763,0.308433115,0.283007562,0.224084064,0.2573255,0.316201746
67,0.207379833,0.342534751,0.276591539,0.326697022,0.284860045,0.207935601,0.258363843,0.340351731
68,0.185602486,0.350176841,0.276144862,0.308074474,0.247748971,0.188872948,0.217962474,0.361474484
69,0.182845637,0.322342902,0.280029535,0.306923062,0.235126317,0.211651191,0.199660093,0.351655126
70,0.223041996,0.311767817,0.280042917,0.321751088,0.237019852,0.251003474,0.194368511,0.270207852
71,0.212469995,0.315560818,0.270138323,0.308240682,0.235554621,0.243994519,0.184354097,0.262389004
72,0.200014368,0.295582324,0.259928554,0.287508398,0.254614085,0.269734144,0.194818437,0.249903232
73,0.215824261,0.302070886,0.269658357,0.300482064,0.271637261,0.299188644,0.223852828,0.271723688
74,0.22439611,0.311186969,0.285476804,0.321345121,0.289673388,0.297175527,0.247986346,0.279163986
75,0.227616638,0.301817238,0.282925218,0.308748871,0.283222497,0.282218605,0.249190941,0.28340131
76,0.230189726,0.269629359,0.278926432,0.298898071,0.287106246,0.256267041,0.237182945,0.274733633
77,0.243526503,0.27022779,0.268520951,0.288581848,0.302781463,0.252890557,0.236293122,0.259984791
78,0.242273793,0.308267266,0.292596489,0.310527682,0.305309743,0.286580443,0.250869662,0.279389322
79,0.235368952,0.313225508,0.27892065,0.316520959,0.29088071,0.302816898,0.247938901,0.276952595
80,0.22673434,0.313716501,0.273878098,0.319273949,0.29538399,0.299434662,0.23840794,0.267864048
81,0.203999996,0.293417156,0.261072725,0.301121205,0.257478327,0.281796008,0.200278983,0.249233127
82,0.211219221,0.291465372,0.26032719,0.297915012,0.250599176,0.245087251,0.204042628,0.258634239
83,0.223989666,0.30199337,0.272986919,0.312243283,0.246681586,0.245379314,0.210661322,0.257981867
84,0.216258973,0.303256989,0.260771453,0.306772918,0.245590881,0.222930372,0.230114803,0.256337851
85,0.203979746,0.311380386,0.273424864,0.307897836,0.246268675,0.217518151,0.209850997,0.290513813
86,0.217660278,0.310842901,0.270531714,0.325985491,0.263418674,0.230967373,0.225061834,0.297683388
87,0.201517954,0.297039598,0.26909557,0.316430807,0.256006628,0.218580008,0.223350957,0.295771897
88,0.171368718,0.309115678,0.274227738,0.278588474,0.241503045,0.212290093,0.224528819,0.315960288
89,0.204281762,0.324070513,0.296942383,0.269405782,0.254837006,0.213447019,0.230691463,0.290614158
90,0.215859339,0.317022383,0.287428737,0.324075311,0.261303455,0.232083336,0.221291199,0.289385319
91,0.204311833,0.320114791,0.276827484,0.347250789,0.249725282,0.228673637,0.217143655,0.279123694
92,0.204786122,0.318703532,0.281175226,0.330594003,0.258932233,0.217469037,0.211238727,0.288945377
93,0.208654672,0.297461659,0.270060688,0.328713387,0.261183739,0.212116957,0.220446616,0.277893513
94,0.182199836,0.279694766,0.27036047,0.317686021,0.24618873,0.191738933,0.188382059,0.26803723
95,0.20049192,0.247548684,0.245055526,0.279450953,0.242163658,0.173651829,0.186628163,0.2575486
96,0.216218129,0.297858268,0.264516115,0.320950389,0.24759315,0.211843207,0.216940477,0.2948488
97,0.204786122,0.318703532,0.281175226,0.330594003,0.258932233,0.217469037,0.211238727,0.288945377
98,0.188267678,0.326409698,0.272452682,0.357325822,0.264318973,0.241365135,0.23477897,0.291067958
99,0.196191713,0.321806759,0.266883641,0.323260665,0.273080617,0.237545222,0.235090137,0.293730646
100,0.18692629,0.321731329,0.277528703,0.297965318,0.260486245,0.211252958,0.220831022,0.311234832
101,0.165496916,0.290728658,0.261355937,0.297788322,0.241357759,0.222420439,0.215678304,0.354282528
102,0.199300691,0.290647656,0.260816664,0.321246564,0.217599094,0.239197746,0.217146426,0.30557707
103,0.223702878,0.296469629,0.269749254,0.322555214,0.240845069,0.244686857,0.232271448,0.296808124
104,0.228575483,0.298162699,0.260780543,0.314174473,0.231924355,0.23168315,0.238478318,0.271838307
105,0.216300949,0.304350704,0.280621827,0.332832724,0.23264277,0.23957482,0.219040364,0.283422798
106,0.227815703,0.298644334,0.280934423,0.316152334,0.247930467,0.255817145,0.228596956,0.280125201
107,0.205388889,0.288082153,0.265565783,0.29783684,0.262398928,0.228729948,0.22792235,0.272815287
108,0.204237282,0.295366794,0.263971001,0.310084701,0.296703279,0.257357925,0.24554877,0.274620473
109,0.210414901,0.311439037,0.281299949,0.310500205,0.259488434,0.2808128,0.24902226,0.29019177
110,0.210414901,0.311439037,0.281299949,0.310500205,0.259488434,0.2808128,0.24902226,0.29019177
111,0.243904129,0.313998967,0.297461659,0.316099495,0.283233851,0.310828596,0.23276563,0.274887294
112,0.229881898,0.286166012,0.294432819,0.301883101,0.31540677,0.277134389,0.235404387,0.26887697
113,0.229581341,0.275729448,0.275809646,0.2928994,0.288050652,0.272397101,0.209817201,0.264148563
114,0.241252929,0.315338701,0.297147393,0.325548381,0.297832489,0.313225985,0.224909574,0.289071441
115,0.206383571,0.322981387,0.279701978,0.304303288,0.266132355,0.290136546,0.218645439,0.294852078
116,0.199758902,0.298648834,0.269199848,0.306520015,0.271720141,0.27166003,0.231268585,0.293231636
117,0.198105156,0.287943751,0.26994735,0.316226929,0.257211536,0.263783842,0.211384863,0.291597068
118,0.198105156,0.287943751,0.26994735,0.316226929,0.257211536,0.263783842,0.211384863,0.291597068
119,0.17682673,0.330456078,0.292485148,0.358003765,0.244340152,0.255065739,0.235218495,0.294539869
120,0.226812825,0.302459359,0.282158226,0.326649249,0.233011723,0.25194335,0.240089893,0.292349726
121,0.22517027,0.299920171,0.277942359,0.317034721,0.25801748,0.263507903,0.241403043,0.289906085
122,0.220079675,0.308262706,0.272412866,0.322032779,0.221457928,0.263727099,0.21138154,0.308351606
123,0.21770063,0.307008207,0.274285704,0.314912736,0.227489144,0.275866836,0.190794989,0.334973514
124,0.183498397,0.307385087,0.274715722,0.294586807,0.261377603,0.233109534,0.223741204,0.338189304
125,0.183498397,0.307385087,0.274715722,0.294586807,0.261377603,0.233109534,0.223741204,0.338189304
126,0.192296758,0.31716761,0.279205143,0.355070621,0.267292142,0.263308764,0.244771615,0.297509402
127,0.181346416,0.330541492,0.275615573,0.370756865,0.265203387,0.230832413,0.226715684,0.289291203
128,0.171765715,0.22174646,0.187208489,0.243226349,0.212290093,0.206212267,0.18320775,0.222604126
129,0.184106335,0.223110259,0.216269583,0.247721627,0.186990142,0.23309958,0.199748755,0.232388824
130,0.182279035,0.260532737,0.23265557,0.304878056,0.225645021,0.201222062,0.199844912,0.243686542
131,0.205949157,0.311112583,0.273655415,0.350363582,0.268460065,0.258970886,0.238147736,0.296534002
132,0.205949157,0.311112583,0.273655415,0.350363582,0.268460065,0.258970886,0.238147736,0.296534002
133,0.207027942,0.311514199,0.284881383,0.290179789,0.256723225,0.266251534,0.201295108,0.334638715
